Title,Acronym,Description,Last Updated
Answer Rate,,A quantitative measure that represents the percentage of students who completed the NCI Academy Internal Evaluation Survey based on the number of students who attended the course. ,24/09/2025
Area of knowledge,,Specific body of knowledge that identifies the course category and supports the identification.,02/04/2025
Attendance,,A measure of the number of students who attend a course iteration either in physical or virtual form. Students who did not complete the course or needed to withdraw once starting the course are considered to have attended a course iteration but have not graduated.,02/04/2025
Blended learning,,"Multiple delivery types are used within the bounds of achieving the same course objectives, most commonly using self-paced online as a precursor to live online, MTT, or face-to-face.",02/04/2025
Branch,,A subdivision of a department that focuses on a specific domain or operational area within the department’s broader responsibilities.,02/04/2025
Certification,,"Attendance at an Academy course may entitle students to a certificate of attendance, a certificate of completion, or a certificate of qualification as detailed in the individual course descriptions in the catalogue.",02/04/2025
Course,,"Planned, sequenced, and structured learning activities based on objectives, which stem from E&IT requirements, for a clearly identified audience.",02/04/2025
Course Code,,Unique course identifier.,02/04/2025
Course completion,,Means that a student has completed an iteration of a course to the required standard and the provider of the course has recorded the outcome.,02/04/2025
Course Control Document,CCD,"A series of three course governing documents (CCD I, II, and III) that provide details of a course uploaded into the ETOC that meet a NATO E&IT requirement.",02/04/2025
Course Graduate,,See Graduate.,02/04/2025
Course Iteration,,See Iteration.,02/04/2025
Current Instructor,,An instructor who is providing training for the NCI Academy.,24/09/2025
Customer,,A NATO nation or group of nations (to include NATO Partner Nations when approved by the NAC) or a NATO entity who is the budget holder and has the authority to obligate and expend funds.,02/04/2025
Customer External / External Customer,,"Nations or organizations public or private, purchasing Agency services with other than NATO common funds.",02/04/2025
Customer Funding,,"The mechanism whereby the Agency receives funding on the basis of an agreement with the fund provider defining the scope, the cost and the timelines of the product or service to be provided.",02/04/2025
Customer Hosted Training Event,,An instructor travels to the customer's site to deliver a complete iteration of a course.,02/04/2025
Customer Internal / Internal Customer,,"Organization or nations using NATO common funds. This includes the NCS, International Staff, IC, and International Military (MIL) Staff or when NCI Agency is assigned Host Nation through the IC.",02/04/2025
Delivery Method,,"Delivery method refers to the way academic content is conveyed from instructors to students in a course. Current methods used within the NCI Academy are classified as Blended Learning, Face-to-Face, Hybrid Learning, Live Online, Mobile Training Team (EU or NA), Public event or Self-Paced Online ",02/04/2025
Department,,"A major functional unit within an organization, typically responsible for a broad area of work.",02/04/2025
Department Head,DH,An officially recognized volunteer institution appointed by HQ SACT who is responsible to maintain a Discipline E&T programme.,02/04/2025
Discipline,,"A NATO approved body of knowledge and skills, which supports an existing or evolving capability.",02/04/2025
Education and Individual Training Solution,,See Course.,02/04/2025
Education and Training Activity,,See NATO Education and Training Activity.,02/04/2025
Education and Training Facility,EFT,"Location or institution (such as a school, academy, or center) that provides education and training services—like delivering courses, exercises, or simulations—for military or civilian personnel.",02/04/2025
Essential Qualification,,An E&IT qualification that is required of an Allied member prior to filling a NATO post.,02/04/2025
Evaluation,,"The process of making judgments. A structured process of examining activities, capabilities, and/or performances against defined standards or criteria.",02/04/2025
External Evaluation,,"A validation activity specific to the NATO Systems Approach to Training (SAT) Evaluation Phase, this is the process of gathering and analysing objective evidence (data) to determine how well E&IT graduates are prepared for their jobs and satisfying job performance requirements.",24/09/2025
External Instructor,,An instructor who is providing training for the NCI Academy who is not on the NCI Academy PE or filling an IWC (PE) or IWC (Surge) position. ,24/09/2025
External Services Revenue,,"(synonym ECIS services revenue) The revenue earned from goods and services procured from industry for the delivery of ICT/CIS services to a customer under a SLA. Customers; principally NCS (ACO and ACT), NATO Headquarters (IS and IMS), funded through the MIL and CIV Budget, but also national and multinational organizations.",02/04/2025
Face-to-Face,,"Students and instructor are physically present in the same NCI Academy training facilities, at the same time (synchronously).",02/04/2025
Graduate,,A student who has met all the requirements of the course.,02/04/2025
Hybrid learning,,"The instructor is physically present in one of the NCI Academy training facilities, together with a number of students.",02/04/2025
Internal Evaluation,,"Specific to the Systems Approach to Training (SAT) Evaluation Phase, uses both qualitative and quantitative data to assess the overall quality (the effectiveness, efficiency and affordability) of a course, including if the instruction provided has satisfied the intended objectives in relation to the resources expended.",24/09/2025
